user_id,order_count,last_order_days,avg_order_value,total_orders,city
1,5,2,127,82,Mumbai
2,4,27,318,26,Delhi
3,4,2,86,56,Mumbai
4,5,21,543,64,Delhi
5,5,58,532,8,Delhi
6,3,5,450,81,Bangalore
7,5,52,628,95,Mumbai
8,4,45,566,37,Bangalore
9,6,85,290,97,Bangalore
10,7,20,244,27,Delhi
11,2,61,204,45,Mumbai
12,5,38,416,4,Delhi
13,5,20,271,86,Delhi
14,6,25,293,90,Mumbai
15,4,2,653,96,Delhi
16,6,32,407,88,Mumbai
17,6,26,460,99,Mumbai
18,1,70,657,37,Delhi
19,7,41,318,96,Delhi
20,2,67,611,71,Bangalore
21,11,1,161,33,Delhi
22,4,51,442,31,Mumbai
23,3,5,584,55,Bangalore
24,8,13,281,12,Mumbai
25,3,19,583,11,Bangalore
26,3,12,116,88,Delhi
27,5,48,668,72,Delhi
28,8,25,680,32,Delhi
29,3,57,481,57,Mumbai
30,2,35,255,38,Bangalore
31,5,76,624,60,Mumbai
32,3,5,649,86,Bangalore
33,8,22,546,98,Delhi
34,10,77,280,19,Mumbai
35,3,57,619,84,Delhi
36,2,47,626,56,Mumbai
37,5,54,473,14,Delhi
38,7,3,121,33,Mumbai
39,6,53,676,10,Mumbai
40,6,84,472,80,Bangalore
41,2,31,520,64,Delhi
42,4,69,696,64,Bangalore
43,9,88,585,62,Bangalore
44,7,33,399,68,Delhi
45,11,72,632,91,Mumbai
46,8,88,294,92,Bangalore
47,3,50,150,43,Delhi
48,2,84,647,80,Mumbai
49,3,16,315,59,Bangalore
50,4,76,360,52,Bangalore
51,5,77,696,97,Bangalore
52,5,39,241,19,Mumbai
53,4,89,270,21,Bangalore
54,3,46,88,22,Mumbai
55,8,88,139,9,Bangalore
56,2,47,304,9,Delhi
57,1,44,661,73,Bangalore
58,4,9,366,27,Delhi
59,5,87,248,17,Delhi
60,4,50,141,44,Delhi
61,3,77,428,45,Mumbai
62,4,60,521,8,Delhi
63,8,15,93,80,Bangalore
64,2,36,243,18,Mumbai
65,2,63,499,33,Delhi
66,2,69,599,1,Mumbai
67,7,86,627,76,Mumbai
68,6,80,639,6,Mumbai
69,7,41,676,41,Bangalore
70,6,74,107,55,Delhi
71,7,24,525,5,Mumbai
72,6,82,287,59,Mumbai
73,4,49,549,80,Mumbai
74,2,18,183,18,Delhi
75,3,7,505,49,Mumbai
76,4,4,180,82,Mumbai
77,7,69,620,65,Bangalore
78,4,60,601,83,Delhi
79,3,55,185,54,Bangalore
80,2,16,356,61,Delhi
81,6,82,144,8,Delhi
82,3,29,267,3,Delhi
83,5,23,396,25,Bangalore
